Name,
"200 906,30 263,60 1 169,90 103 242,83",
"201 908,59 261,31 1 169,90 102 334,24",
"202 910,89 259,01 1 169,90 101 423,35",
"203 913,20 256,70 1 169,90 100 510,15",
"204 915,51 254,39 1 169,90 99 594,64",
"205 917,83 252,07 1 169,90 98 676,81",
"206 920,15 249,75 1 169,90 97 756,66",
"207 922,48 247,42 1 169,90 96 834,18",
"208 924,81 245,09 1 169,90 95 909,37",
"209 927,15 242,75 1 169,90 94 982,22",
"210 929,50 240,40 1 169,90 94 052,72",
"211 931,85 238,05 1 169,90 93 120,87",
"212 934,21 235,69 1 169,90 92 186,66",
"213 936,58 233,32 1 169,90 91 250,08",
"214 938,95 230,95 1 169,90 90 311,13",
"215 941,32 228,58 1 169,90 89 369,81",
"216 943,71 226,19 1 169,90 88 426,10",
"217 946,09 223,81 1 169,90 87 480,01",
"218 948,49 221,41 1 169,90 86 531,52",
"219 950,89 219,01 1 169,90 85 580,63",
"220 953,30 216,60 1 169,90 84 627,33",
"221 955,71 214,19 1 169,90 83 671,62",
"222 958,13 211,77 1 169,90 82 713,49",
"223 960,55 209,35 1 169,90 81 752,94",
"224 962,98 206,92 1 169,90 80 789,96",
"225 965,42 204,48 1 169,90 79 824,54",
"226 967,86 202,04 1 169,90 78 856,68",
"227 970,31 199,59 1 169,90 77 886,37",
"228 972,77 197,13 1 169,90 76 913,60",
"229 975,23 194,67 1 169,90 75 938,37",
"230 977,70 192,20 1 169,90 74 960,67",
"231 980,17 189,73 1 169,90 73 980,50",
"232 982,66 187,24 1 169,90 72 997,84",
"233 985,14 184,76 1 169,90 72 012,70",
"234 987,64 182,26 1 169,90 71 025,06",
"235 990,14 179,76 1 169,90 70 034,92",
"236 992,64 177,26 1 169,90 69 042,28",
"237 995,15 174,75 1 169,90 68 047,13",
"238 997,67 172,23 1 169,90 67 049,46",
"239 1 000,20 169,70 1 169,90 66 049,26",
"240 1 002,73 167,17 1 169,90 65 046,53",
"241 1 005,27 164,63 1 169,90 64 041,26",
"242 1 007,81 162,09 1 169,90 63 033,45",
"243 1 010,36 159,54 1 169,90 62 023,09",
"244 1 012,92 156,98 1 169,90 61 010,17",
"245 1 015,48 154,42 1 169,90 59 994,69",
"246 1 018,05 151,85 1 169,90 58 976,64",
"247 1 020,63 149,27 1 169,90 57 956,01",
"248 1 023,21 146,69 1 169,90 56 932,80",
"249 1 025,80 144,10 1 169,90 55 907,00",
"250 1 028,40 141,50 1 169,90 54 878,60",
"251 1 031,00 138,90 1 169,90 53 847,60",
"252 1 033,61 136,29 1 169,90 52 813,99",
"253 1 036,23 133,67 1 169,90 51 777,76",
"254 1 038,85 131,05 1 169,90 50 738,91",
"255 1 041,48 128,42 1 169,90 49 697,43",
"256 1 044,12 125,78 1 169,90 48 653,31",
"257 1 046,76 123,14 1 169,90 47 606,55",
"258 1 049,41 120,49 1 169,90 46 557,14",
"259 1 052,06 117,84 1 169,90 45 505,08",
"260 1 054,73 115,17 1 169,90 44 450,35",
"261 1 057,40 112,50 1 169,90 43 392,95",
"262 1 060,07 109,83 1 169,90 42 332,88",
"263 1 062,76 107,14 1 169,90 41 270,12",
"264 1 065,45 104,45 1 169,90 40 204,67",
"265 1 068,14 101,76 1 169,90 39 136,53",
"266 1 070,85 99,05 1 169,90 38 065,68",
"267 1 073,56 96,34 1 169,90 36 992,12",
"268 1 076,27 93,63 1 169,90 35 915,85",
"269 1 079,00 90,90 1 169,90 34 836,85",
"270 1 081,73 88,17 1 169,90 33 755,12",
"271 1 084,47 85,43 1 169,90 32 670,65",
"272 1 087,21 82,69 1 169,90 31 583,44",
"273 1 089,96 79,94 1 169,90 30 493,48",
"274 1 092,72 77,18 1 169,90 29 400,76",
"275 1 095,49 74,41 1 169,90 28 305,27",
"276 1 098,26 71,64 1 169,90 27 207,01",
"277 1 101,04 68,86 1 169,90 26 105,97",
"278 1 103,83 66,07 1 169,90 25 002,14",
"279 1 106,62 63,28 1 169,90 23 895,52",
"280 1 109,42 60,48 1 169,90 22 786,10",
"281 1 112,23 57,67 1 169,90 21 673,87",
"282 1 115,04 54,86 1 169,90 20 558,83",
"283 1 117,87 52,03 1 169,90 19 440,96",
"284 1 120,69 49,21 1 169,90 18 320,27",
"285 1 123,53 46,37 1 169,90 17 196,74",
"286 1 126,38 43,52 1 169,90 16 070,36",
"287 1 129,23 40,67 1 169,90 14 941,13",
"288 1 132,08 37,82 1 169,90 13 809,05",
"289 1 134,95 34,95 1 169,90 12 674,10",
"290 1 137,82 32,08 1 169,90 11 536,28",
"291 1 140,70 29,20 1 169,90 10 395,58",
"292 1 143,59 26,31 1 169,90 9 251,99",
"293 1 146,48 23,42 1 169,90 8 105,51",
"294 1 149,38 20,52 1 169,90 6 956,13",
"295 1 152,29 17,61 1 169,90 5 803,84",
"296 1 155,21 14,69 1 169,90 4 648,63",
"297 1 158,13 11,77 1 169,90 3 490,50",
"298 1 161,07 8,83 1 169,90 2 329,43",
"299 1 164,00 5,90 1 169,90 1 165,43",
"300 1 165,43 2,95 1 168,38 0,00",
